zinc_id,smiles
ZINC000049436021,N#C[C@@H](C(=O)Cc1ccc2c(c1)CCC2)c1nc(N)nc(N)n1
ZINC000049436020,N#C[C@H](C(=O)Cc1ccc2c(c1)CCC2)c1nc(N)nc(N)n1
ZINC000030113633,N#Cc1nc(NC(=O)[C@H]2CCCN(c3cnccn3)C2)[nH]c1C#N
ZINC000034517735,Nc1c(-c2ccccc2)nc(N2C=NNN2)c2c1C(=O)N=NC2=O
ZINC000052470517,O=C(Nc1cnccn1)C1CCN(c2ncnc3[nH]cnc23)CC1
ZINC000034019690,NS(=O)(=O)c1ccc2c(c1)/C(=C1\C=c3ccccc3=N1)NN2
ZINC000034041319,NS(=O)(=O)c1ccc2c(c1)NN/C2=C1/C=c2ccccc2=N1
ZINC000049436866,N#C[C@H](C(=O)c1cc(=O)c2ccccc2o1)c1nc(N)nc(N)n1
ZINC000038482733,O=C(NCc1cccnc1)c1cc(-c2c[nH]ccc2=O)nnc1O
ZINC000035010083,O=C1c2ccccc2C(=O)N1C/C=C/Cn1ccc(=O)[nH]c1=O
